id1,id2,weight
A438,Block A30-A49,1
A438,Chapter I,1
A438,ICD10,1
A438,A43,1
A439,Block A30-A49,1
A439,Chapter I,1
A439,ICD10,1
A439,A43,1
A440,Block A30-A49,1
A440,Chapter I,1
A440,A44,1
A440,ICD10,1
A44,Block A30-A49,1
A44,Chapter I,1
A44,ICD10,1
A441,Block A30-A49,1
A441,Chapter I,1
A441,A44,1
A441,ICD10,1
A448,Block A30-A49,1
A448,Chapter I,1
A448,A44,1
A448,ICD10,1
A449,Block A30-A49,1
A449,Chapter I,1
A449,A44,1
A449,ICD10,1
A46,Block A30-A49,1
A46,Chapter I,1
A46,ICD10,1
A480,Block A30-A49,1
A480,Chapter I,1
A480,A48,1
A480,ICD10,1
A48,Block A30-A49,1
A48,Chapter I,1
A48,ICD10,1
A481,Block A30-A49,1
A481,Chapter I,1
A481,A48,1
A481,ICD10,1
A482,Block A30-A49,1
A482,Chapter I,1
A482,A48,1
A482,ICD10,1
A483,Block A30-A49,1
A483,Chapter I,1
A483,A48,1
A483,ICD10,1
A484,Block A30-A49,1
A484,Chapter I,1
A484,A48,1
A484,ICD10,1
A488,Block A30-A49,1
A488,Chapter I,1
A488,A48,1
A488,ICD10,1
A490,A49,1
A490,Chapter I,1
A490,ICD10,1
A490,Block A30-A49,1
A49,Block A30-A49,1
A49,Chapter I,1
A49,ICD10,1
A491,A49,1
A491,Chapter I,1
A491,ICD10,1
A491,Block A30-A49,1
A492,A49,1
A492,Chapter I,1
A492,ICD10,1
A492,Block A30-A49,1
A493,A49,1
A493,Chapter I,1
A493,ICD10,1
A493,Block A30-A49,1
A498,A49,1
A498,Chapter I,1
A498,ICD10,1
A498,Block A30-A49,1
A499,A49,1
A499,Chapter I,1
A499,ICD10,1
A499,Block A30-A49,1
A500,Chapter I,1
A500,A50,1
A500,Block A50-A64,1
A500,ICD10,1
A50,Chapter I,1
A50,Block A50-A64,1
A50,ICD10,1
Block A50-A64,Chapter I,1
Block A50-A64,ICD10,1
A501,Chapter I,1
A501,A50,1
A501,Block A50-A64,1
A501,ICD10,1
A502,Chapter I,1
A502,A50,1
A502,Block A50-A64,1
A502,ICD10,1
A503,Chapter I,1
A503,A50,1
A503,Block A50-A64,1
A503,ICD10,1
A504,Chapter I,1
A504,A50,1
A504,Block A50-A64,1
A504,ICD10,1
A505,Chapter I,1
A505,A50,1
A505,Block A50-A64,1
A505,ICD10,1
A506,Chapter I,1
A506,A50,1
A506,Block A50-A64,1
A506,ICD10,1
A507,Chapter I,1
A507,A50,1
A507,Block A50-A64,1
A507,ICD10,1
A509,Chapter I,1
A509,A50,1
A509,Block A50-A64,1
A509,ICD10,1
A510,Chapter I,1
A510,Block A50-A64,1
A510,ICD10,1
A510,A51,1
A51,Chapter I,1
A51,Block A50-A64,1
A51,ICD10,1
A511,Chapter I,1
A511,Block A50-A64,1
A511,ICD10,1
A511,A51,1
A512,Chapter I,1
A512,Block A50-A64,1
A512,ICD10,1
A512,A51,1
A513,Chapter I,1
A513,Block A50-A64,1
A513,ICD10,1
A513,A51,1
A514,Chapter I,1
A514,Block A50-A64,1
A514,ICD10,1
A514,A51,1
A515,Chapter I,1
A515,Block A50-A64,1
A515,ICD10,1
A515,A51,1
A519,Chapter I,1
A519,Block A50-A64,1
A519,ICD10,1
A519,A51,1
A520,Chapter I,1
A520,A52,1
A520,Block A50-A64,1
A520,ICD10,1
A52,Chapter I,1
A52,Block A50-A64,1
A52,ICD10,1
A521,Chapter I,1
A521,A52,1
A521,Block A50-A64,1
A521,ICD10,1
A522,Chapter I,1
A522,A52,1
A522,Block A50-A64,1
A522,ICD10,1
A523,Chapter I,1
A523,A52,1
A523,Block A50-A64,1
A523,ICD10,1
A527,Chapter I,1
A527,A52,1
A527,Block A50-A64,1
A527,ICD10,1
A528,Chapter I,1
A528,A52,1
A528,Block A50-A64,1
A528,ICD10,1
A529,Chapter I,1
A529,A52,1
A529,Block A50-A64,1
A529,ICD10,1
A530,A53,1
A530,Chapter I,1
A530,Block A50-A64,1
A530,ICD10,1
A53,Chapter I,1
A53,Block A50-A64,1
A53,ICD10,1
A539,A53,1
A539,Chapter I,1
A539,Block A50-A64,1
A539,ICD10,1
A540,Chapter I,1
A540,Block A50-A64,1
A540,A54,1
A540,ICD10,1
A54,Chapter I,1
A54,Block A50-A64,1
A54,ICD10,1
A541,Chapter I,1
A541,Block A50-A64,1
A541,A54,1
A541,ICD10,1
A542,Chapter I,1
A542,Block A50-A64,1
A542,A54,1
A542,ICD10,1
A543,Chapter I,1
A543,Block A50-A64,1
A543,A54,1
A543,ICD10,1
A544,Chapter I,1
A544,Block A50-A64,1
A544,A54,1
A544,ICD10,1
A545,Chapter I,1
A545,Block A50-A64,1
A545,A54,1
A545,ICD10,1
A546,Chapter I,1
A546,Block A50-A64,1
A546,A54,1
A546,ICD10,1
A548,Chapter I,1
A548,Block A50-A64,1
A548,A54,1
A548,ICD10,1
A549,Chapter I,1
A549,Block A50-A64,1
A549,A54,1
A549,ICD10,1
A55,Chapter I,1
A55,Block A50-A64,1
A55,ICD10,1
A560,Chapter I,1
A560,Block A50-A64,1
A560,ICD10,1
A560,A56,1
A56,Chapter I,1
A56,Block A50-A64,1
A56,ICD10,1
A561,Chapter I,1
A561,Block A50-A64,1
A561,ICD10,1
A561,A56,1
A562,Chapter I,1
A562,Block A50-A64,1
A562,ICD10,1
A562,A56,1
A563,Chapter I,1
A563,Block A50-A64,1
A563,ICD10,1
A563,A56,1
A564,Chapter I,1
A564,Block A50-A64,1
A564,ICD10,1
A564,A56,1
A568,Chapter I,1
A568,Block A50-A64,1
A568,ICD10,1
A568,A56,1
A57,Chapter I,1
A57,Block A50-A64,1
A57,ICD10,1
A58,Chapter I,1
A58,Block A50-A64,1
A58,ICD10,1
A590,Chapter I,1
A590,ICD10,1
A590,Block A50-A64,1
A590,A59,1
A59,Chapter I,1
A59,Block A50-A64,1
A59,ICD10,1
A598,Chapter I,1
A598,ICD10,1
A598,Block A50-A64,1
A598,A59,1
A599,Chapter I,1
A599,ICD10,1
A599,Block A50-A64,1
A599,A59,1
A600,Chapter I,1
A600,A60,1
A600,Block A50-A64,1
A600,ICD10,1
A60,Chapter I,1
A60,Block A50-A64,1
A60,ICD10,1
A601,Chapter I,1
A601,A60,1
A601,Block A50-A64,1
A601,ICD10,1
A609,Chapter I,1
A609,A60,1
A609,Block A50-A64,1
A609,ICD10,1
A630,Chapter I,1
